iter	Passed	Remaining
889	22248	2749
890	22273	2724
891	22300	2700
892	22354	2678
893	22416	2657
894	22439	2632
895	22466	2607
896	22487	2582
897	22513	2557
898	22536	2531
899	22563	2507
900	22585	2481
901	22606	2456
902	22627	2430
903	22649	2405
904	22672	2380
905	22698	2354
906	22719	2329
907	22742	2304
908	22766	2279
909	22789	2253
910	22809	2228
911	22832	2203
912	22858	2178
913	22881	2152
914	22902	2127
915	22923	2102
916	22947	2077
917	22971	2051
918	22994	2026
919	23019	2001
920	23047	1976
921	23074	1952
922	23096	1926
923	23119	1901
924	23154	1877
925	23184	1852
926	23210	1827
927	23241	1803
928	23279	1779
929	23338	1756
930	23372	1732
931	23405	1707
932	23445	1683
933	23483	1659
934	23508	1634
935	23536	1609
936	23562	1584
937	23586	1559
938	23612	1533
939	23640	1508
940	23667	1483
941	23699	1459
942	23724	1434
943	23753	1409
944	23779	1383
945	23803	1358
946	23824	1333
947	23845	1307
948	23866	1282
949	23888	1257
950	23911	1232
951	23935	1206
952	23957	1181
953	23980	1156
954	24002	1131
955	24024	1105
956	24045	1080
957	24066	1055
958	24088	1029
959	24112	1004
960	24134	979
961	24158	954
962	24184	929
963	24206	903
964	24227	878
965	24249	853
966	24275	828
967	24297	803
968	24321	778
969	24347	753
970	24367	727
971	24387	702
972	24406	677
973	24432	652
974	24461	627
975	24488	602
976	24511	577
977	24532	551
978	24554	526
979	24573	501
980	24597	476
981	24625	451
982	24652	426
983	24676	401
984	24700	376
985	24723	351
986	24747	325
987	24773	300
988	24797	275
989	24823	250
990	24862	225
991	25002	201
992	25092	176
993	25165	151
994	25199	126
995	25227	101
996	25255	75
997	25280	50
998	25303	25
999	25327	0
